mineral/dust		4364.086888585355
	nucleation	98.63788241325955
	freezing	68.36367618347614
	particle	48.4054914997065
	acid	46.58422029150263
	emissions	43.354668733673
	concentrations	37.495124370833935
	conditions	36.95453422423064
	temperature	34.679627173249884
	could	30.21181161408125
	heterogeneous	29.12741449874888
	ability	27.568933725777068
	immersion	26.82903580383163
	water	25.911058489205065
	chamber	24.027101870960916
	experiments	23.801393789886554
	under	22.92077957383496
	coating	22.55890361449171
	relative	22.144136918016407
	range	21.862683160281982
	properties	21.419980262342964


cycle		2567.058650742758
	emission	35.10182892071457
	aod	34.921750691167475
	wind	30.618102385648214
	layer	29.859017412854133
	heating	28.893562375579968
	pbl	28.74706039232375
	radiative	24.6634225432394
	winds	23.91762452257197
	monsoon	23.528726467037803
	vertical	23.510709780739667
	trajectory	23.0
	height	22.722936231685644
	figures	21.84642333394969
	solar	20.97591603684501
	season	20.504852492396516
	layers	20.379972742889663
	circulation	19.217292037634067
	simulated	19.001208483252192
	extinction	18.0
	back	17.976184616957603


saharan/dust		3517.290566359313
	lidar	78.7220595258168
	depolarization	45.31921249825269
	particle	43.18061526625916
	properties	38.41398705050717
	aod	37.37920981836935
	transport	36.19843866748621
	vertical	34.665801777964404
	coefficient	27.51681108744896
	calipso	26.84981331378053
	extinction	25.895084428277414
	smoke	23.657608771834052
	caliop	22.918261445209893
	resolution	21.853866724305316
	mass	21.722833314474656
	desert	21.517657155907784
	profiles	21.066782370602777
	region	19.596608772561176
	satellite	17.06821303764458
	plumes	16.941522154070796
	scattering	16.53917674414393


ocean		2115.196321966082
	iron	68.12295032238774
	phytoplankton	32.94637180657378
	atlantic	31.582224021786754
	concentration	26.56195939882103
	°n,	25.610225345788884
	solubility	23.92488113253089
	found	22.70604748492527
	after	21.345929750074376
	dissolved	20.117928358531643
	concentrations	19.96371563973251
	total	19.33602325515398
	relative	17.907654859513766
	ocean	16.278573760008747
	control	15.572299478532651
	higher	14.637276669860293
	form	14.548057121055052
	time	14.154845304040899
	growth	13.55203248508029
	community	12.897169086769233
	collected	12.758877599662013


aerosol		7853.786565729955
	properties	50.88388877600914
	particle	43.87233589027857
	nucleation	42.999698386783955
	distribution	37.18045838239762
	plume	37.02599642998743
	spectral	36.562167968511204
	transport	35.783833245428696
	wind	35.30959758737317
	atlantic	33.991656840536635
	layer	33.81742481298295
	could	33.28634948158777
	temperatures	32.20458872322574
	temperature	31.965036390312854
	acid	31.152269169229363
	uptake	30.615742717223497
	concentration	30.240400608318275
	source	29.656057151146406
	day	29.09421429629163
	freezing	28.999020253070448
	higher	28.143895273393582


aerosols		5921.060091595121
	wind	62.080910799664935
	air	52.006219397690096
	region	51.89750871558978
	soil	39.45268685495388
	atlantic	36.40476503042435
	humidity	34.07662713039842
	source	32.85440700778179
	layer	32.63117182656061
	atmosphere	32.3420679014905
	ocean	32.196438113701205
	asia	31.85260088385954
	concentrations	31.634865517746455
	activity	29.839931486127785
	dry	28.56636485638031
	temperature	28.553191715826053
	transport	27.684167832260343
	2007	26.99417644174156
	concentration	26.67075681154867
	time	26.462712826711375
	most	25.57338379518741


precipitation		2219.0797332596535
	emission	81.38690258442372
	emissions	41.62421414638771
	oceans	33.81816384299903
	total	31.86829773278503
	winds	27.086914163470944
	china	26.4827691605858
	annual	24.83959649573273
	convection	24.042304734343308
	asia	21.6164788701462
	open	19.841679234460162
	wet	19.21248960645792
	nitrogen	18.998680766915964
	march	18.780065524680396
	amount	18.374210214103442
	hno	17.898082555812838
	events	17.38872324096953
	observation	16.792587358397018
	nitrate	16.357759611629437
	sea	16.29042848894409
	amounts	15.444770002920219


atmosphere		1471.2260587951905
	clouds	26.829151898511636
	temperature	20.165541249714508
	pollution	19.830774125601224
	spherical	18.939805419049932
	cases	18.024893479132167
	drops	17.99596772162819
	atmosphere	16.099070396329893
	drop	12.999116062679452
	density	12.719201042991038
	conditions	12.314303194549934
	under	12.225700613330915
	scenario	11.983102839290389
	particle	11.736747700062384
	assimilation	11.702162719849213
	nitrate	11.0
	air	10.873214886750397
	warm	10.782090710085292
	time	10.76045484154952
	expected	10.529562117626018
	types	10.342991652245185


clouds		1999.7876645226447
	hygroscopic	30.622172578188806
	transport	30.506366619031773
	properties	25.402529440034886
	regional	20.848009111269526
	radiative	20.290418958141924
	cirrus	18.388186758759485
	images	17.802312446400776
	mixing	17.779997355104634
	period	17.529471831311078
	january	16.714839396150186
	presence	16.416610746698222
	particle	15.224540653815485
	growth	14.762629384082524
	region	14.730937999172951
	sea	14.216790612787268
	arabian	12.996754525843347
	sea-salt	12.989008829054855
	mixed	12.84629838279603
	differences	12.682486504446826
	water	12.505496413125984


storms		488.25815207729534
	saltation	20.99971896233509
	field	19.474951273168042
	smoke	14.017009818786097
	sand	11.912689382383562
	concentration	9.780540180169353
	raman	9.631573299329467
	layer	8.524991922838044
	electron	7.999694400002377
	ions	7.826106504770872
	case	7.614933319610916
	storms	7.564904162340989
	lines	6.693596317115189
	characterization	6.43801765114538
	height	6.052606707425729
	radius	5.816209625545836
	indicate	5.559953626853793
	2003	5.486495102834242
	fields	5.467043479781948
	asian	5.315967684897948
	find	4.900549177457958


dust		4518.056718977493
	lgm	93.99977838146694
	climate	62.28702366075795
	forcing	57.62895199450109
	models	56.16767966894908
	radiative	52.21986357517513
	temperature	51.20711197521545
	holocene	46.656093746311456
	absorption	43.97359703922014
	range	41.14174023518366
	particle	34.97586360787606
	concentration	32.61171083695247
	transition	31.595575812664528
	sensitivity	30.63760742898433
